IoAllocateDriverObjectExtension:: 0x1148e0
PiDrvDbLoadHive:: 0x57ae94
DestroyEventEntry:: 0x2fab8
CcWorkerThread:: 0x3db30
PspInitializeNetRateControl:: 0x841ccc
PoFxRegisterDripsWatchdogCallback:: 0x13c3d0
ExReturnPoolQuota:: 0xfd430
KsepStringDuplicate:: 0x483f0c
IopQueryNameInternal:: 0x4cc410
ExpWnfDeleteStateData:: 0x55c030
MiPhysicalPoolCheck:: 0x100a8c
IoReportTargetDeviceChangeAsynchronous:: 0x24250
KseDriverScopeInitialize:: 0x82e9bc
CmpAdminSystemSecurityDescriptor:: 0x5ab540
MiSelectImageBase:: 0x499044
RawScanDeletedList:: 0x489f10
WbDecryptEncryptionSegment:: 0x445b74
HvpDoAllocateCell:: 0x4b4ec0
MiReplenishNonPagedSlists:: 0x3b0e0
PiQueryResourceRequirements:: 0x573df0
MmQueryMemoryListInformation:: 0xe8330
SeComputeQuotaInformationSize:: 0x4e9ba0
_CmSetDeviceInterfaceMappedProperty:: 0x572714
IopInitializeBuiltinDriver:: 0x83a5d4
CcDereferenceSharedCacheMapFileObject:: 0x2ab90
CmpLockIXLockIntent:: 0x4aa264
KeQueryTotalCycleTimeThread:: 0x63b40
WbHeapExecuteCall:: 0x4998f8
_CmOpenDeviceContainerRegKey:: 0x48221c
ExpQueryNumaProcessorMap$filt$0:: 0x5ee2df
MiInitializeNumaRanges:: 0x11cbbc
ExpQuerySystemInformation$filt$7:: 0x5efff0
ExpTimeRefreshDpcRoutine$filt$3:: 0x176990
CmpLightWeightCommitDeleteValueKeyUoW:: 0x4472dc
ExpTimeRefreshDpcRoutine$filt$1:: 0x17691e
PpDevCfgProcessDeviceOperations:: 0x570510
SiGetSystemDisk:: 0x5bb930
CmGetVisibleValueCount:: 0x56e920
KeSetDisableQuantumProcess:: 0x16238
RemoveListHeadPte:: 0xb671c
KiIsXSaveFeatureAllowed:: 0x41e83c
MiObtainSystemCacheView:: 0xb6290
CmpTransSearchAddLightWeightTrans:: 0x4a9f08
KsepStringFree:: 0x4842d0
ExpWorkerFactoryInitialization:: 0x84b1dc
NtQueryEaFile:: 0x559070
IopCompareReqAlternativePriority:: 0x5d0d00
ExpWnfGenerateStateName:: 0x48fa94
KeSetPriorityAndQuantumProcess:: 0x425f8
CmSelectQualifiedInstallLanguage:: 0x83bdd0
PpmPerfGetCurrentState:: 0x45da8
AlpcpValidateConnectionMessage:: 0x48e03c
ExpQuerySystemInformation$filt$73:: 0x5f0c1a
ExpQuerySystemInformation$filt$116:: 0x5f1c58
MiGetSystemPage:: 0xd2678
ExpQuerySystemInformation$filt$72:: 0x5f0bd8
ExpQuerySystemInformation$filt$106:: 0x5f18fe
MiEnumerateLeafPtes:: 0x5a6c
ExpQuerySystemInformation$filt$71:: 0x5f0b96
ExpQuerySystemInformation$filt$70:: 0x5f0b12
MiInitializeMdlPages:: 0xd8740
IopLegacyResourceAllocation:: 0x5838dc
ExpQuerySystemInformation$filt$77:: 0x5f0d22
ExpQuerySystemInformation$filt$76:: 0x5f0ce0
ExpQuerySystemInformation$filt$75:: 0x5f0c9e
PspChargeJobWakeCounter:: 0x454740
ExpQuerySystemInformation$filt$74:: 0x5f0c5c
MiSlistGetFreePage:: 0xf823c
PiControlGetPropertyData:: 0x4c8c10
StEtaStart:: 0x904c
NtFlushBuffersFileEx:: 0x55abc4
MiObtainNonPagedPoolCharges:: 0xd0584
PiDmObjectProcessPropertyChange:: 0x473104
ExpHwidEnsurePropertyBufferLength:: 0x581698
ExpQuerySystemInformation$filt$79:: 0x5f0e2a
IopSortRelationListForRemove:: 0x5885cc
ExpInsertTimerResolutionEntry:: 0xd8a0
ExpQuerySystemInformation$filt$78:: 0x5f0da6
LdrpLoadResourceFromAlternativeModule:: 0xea4a8
RtlInterlockedClearBitRun:: 0x1414f0
FsRtlGetTunnelParameterValue:: 0x5a8000
ExpCreateWorkerThread:: 0x53cee0
CmpTraceSecurityChanging:: 0x4de3ec
MiReduceZeroingThreads:: 0x12d0d0
PopExtendConnectionState:: 0x5dbc1c
PsLookupProcessThreadByCid:: 0x4c2bf0
NtQuerySemaphore:: 0x578c58
PopFxProcessWork:: 0x1f038
MiCreatePagefile:: 0x5c1df0
FsRtlpCancelOplockRHIrp$fin$0:: 0x174771
_TlgDefineProvider_annotation__TlgPopTraceHandleProv:: 0x1198a0
FsRtlReleaseFileForCcFlush:: 0x4b890c
LdrpGetMappingFromCacheEntry:: 0x115c30
MiPfnsWorthTrying:: 0xef1e0
IoQuerySystemDeviceName:: 0x561df8
KiPriQueueThreadPriorityChanged:: 0x108c40
CcUninitializeCacheMap:: 0x60110
AlpcpCaptureHandleAttribute$filt$0:: 0x5ee7c7
