IoReleaseRemoveLockEx:: 0x32af90
MmAllocatePartitionNodePagesForMdlEx:: 0x2564b0
RtlWideCharArrayCopyStringWorker:: 0x587428
RtlWideCharArrayCopyStringWorker:: 0x587428
EtwpDeleteRegistrationObject:: 0x60b3f0
LdrResGetRCConfig:: 0x77afec
PipClearDevNodeProblem:: 0x73a8cc
PiDevCfgInitMigrationContext:: 0x75dce8
CmpUnlockHashEntryByKcb:: 0x6af120
PspRemoveProcessFromJobChain:: 0x692c38
IoAllocateDriverObjectExtension:: 0x36ad90
PiDrvDbLoadHive:: 0x716144
DestroyEventEntry:: 0x360bbc
CcWorkerThread:: 0x27ef10
PspInitializeNetRateControl:: 0xa53884
PoFxRegisterDripsWatchdogCallback:: 0x3b4430
PopPlRegisterComponent:: 0x3a86a8
MiLogPinDriverAddressesWorker:: 0x7a5150
EmonCompleteInitializeProfiling:: 0x9aa6d0
ExReturnPoolQuota:: 0x32c80c
KsepStringDuplicate:: 0x7493f0
IopQueryNameInternal:: 0x69e6f4
IoReportTargetDeviceChangeAsynchronous:: 0x2da4b0
KseDriverScopeInitialize:: 0xa744d8
MiLogNonRetpolineImageLoadEvent:: 0x762a20
PopCapturePlatformRole:: 0x5e4b38
CmpAdminSystemSecurityDescriptor:: 0x794f44
MiSelectImageBase:: 0x6471d4
RawScanDeletedList:: 0x682490
WbDecryptEncryptionSegment:: 0x5da530
HvpDoAllocateCell:: 0x6b1a70
MiDereferenceSessionFinal:: 0x766c80
PiQueryResourceRequirements:: 0x73d404
MmQueryMemoryListInformation:: 0x22c9f0
SeComputeQuotaInformationSize:: 0x61a750
RtlReleaseSwapReference:: 0x391440
ObWaitForSingleObject:: 0x5fb080
IopInitializeBuiltinDriver:: 0xa648fc
CcDereferenceSharedCacheMapFileObject:: 0x281c80
CmpLockIXLockIntent:: 0x6b5a1c
MiCaptureRetpolineImportInfo:: 0x76d2cc
MiUnlockLoaderEntry:: 0x3042e8
PopExecutePowerAction:: 0x764548
HalpPowerInitNvsRegionData:: 0xa7477c
PoFxSetDeviceIdleTimeout:: 0x3b18c0
KeFlushProcessWriteBuffers:: 0x2749ec
KeQueryTotalCycleTimeThread:: 0x22f5f0
WbHeapExecuteCall:: 0x6be450
_CmOpenDeviceContainerRegKey:: 0x6fad50
SiIsWinPeHardDiskZeroUfdBoot:: 0x76a404
ExpQueryNumaProcessorMap$filt$0:: 0x7d3a59
RtlpCopyExtendedContext:: 0x27c250
ExpQuerySystemInformation$filt$7:: 0x7d46b6
ExpTimeRefreshDpcRoutine$filt$3:: 0x3f7e9a
CmpLightWeightCommitDeleteValueKeyUoW:: 0x722a0c
CmCompleteRegistryInitialization:: 0x788a9c
ExpTimeRefreshDpcRoutine$filt$1:: 0x3f7e16
PopSanityCheckHiberFile:: 0x77d62c
PpDevCfgProcessDeviceOperations:: 0x739700
SiGetSystemDisk:: 0x76a1a0
CmGetVisibleValueCount:: 0x61d3c4
KeSetDisableQuantumProcess:: 0x2f2a24
RemoveListHeadPte:: 0x2bf630
KiIsXSaveFeatureAllowed:: 0x9ab7a0
MiObtainSystemCacheView:: 0x2bf730
CmpTransSearchAddLightWeightTrans:: 0x6f7c44
KiFlushRangeTb:: 0x38b56c
KsepStringFree:: 0x7498f4
ExpWorkerFactoryInitialization:: 0xa7cb74
CmpVolumeManagerUnlockContextListExclusive:: 0x7c1c78
NtQueryEaFile:: 0x6ee220
CmpReparseToVirtualPath:: 0x6f2068
MiStartingOffsetNeedLock:: 0x29d388
KeSynchronizeAddressPolicy:: 0x2746ec
IopCompareReqAlternativePriority:: 0x7bc4f0
ExpWnfGenerateStateName:: 0x6c7fb4
ConsumerGetBuffer:: 0x99fbac
KeSetPriorityAndQuantumProcess:: 0x2ee120
CmSelectQualifiedInstallLanguage:: 0xa66d6c
PpmPerfGetCurrentState:: 0x34321c
AlpcpValidateConnectionMessage:: 0x6576d0
ExpQuerySystemInformation$filt$73:: 0x7d4b9c
ExpQuerySystemInformation$filt$116:: 0x7d5c5e
MiGetSystemPage:: 0x25de1c
ExpQuerySystemInformation$filt$72:: 0x7d4b5a
