KiServiceInternal:: 0xa1500
??_C@_1HM@IHPPCBKD@?$AA?2?$AAR?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAM?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?2?$AAC?$AAu?$AAr?$AAr?$AAe?$AAn?$AAt@PBOPGDP@:: 0x556d40
MiMirrorHoldsPfn:: 0x23af50
RtlpLockAtomTable:: 0x30abfc
RtlStdLogStackTrace:: 0x118c90
ZwCreateNamedPipeFile:: 0x91aa0
PshedDisableErrorSource:: 0x817be
PnpRemoveLockedDeviceNode:: 0x165fc0
MiRemoveNode:: 0x44640
WdipSemRegHandle:: 0x21a1d8
KeQueryTimerDueTime:: 0xf28c0
ObpAuditBaseObjects:: 0x21f900
KiKvaLeakageSimulate:: 0x29e148
MiWaitForFlushInProgress:: 0x12c460
SmWdInitialize:: 0x106a00
EtwpUpdateFileHeader:: 0x341e1c
__real@3f10000000000000:: 0x12488
?SmEtwDescriptorPtrs@@3PAPEBU_EVENT_DESCRIPTOR@@A:: 0x1e05f0
??_C@_0CH@GEGPOHNN@wmitrace?3?5EtwpStartTrace?5failed?3@NNGAKEGL@:: 0x35b200
NtGetContextThread:: 0x2bce80
ZwCreateDirectoryObject:: 0x91960
MiReadWriteAnyLevelShadowPte:: 0x8d990
PnpUnlinkDeviceRemovalRelations:: 0x415340
??_C@_1BG@KPDPFBJH@?$AA?2?$AA?$DP?$AA?$DP?$AA?2?$AAV?$AAo?$AAl?$AAu?$AAm?$AAe?$AA?$AA@:: 0xe360
PsOpenProcess:: 0x2d3f40
PfTDumpEntryInfo:: 0x3a9030
CcAllocateVacbLevel:: 0x698cc
PnpPrepareDriverLoading:: 0x43cb20
DbgkLkmdUnregisterCallback:: 0x457f70
SepMandatoryObjectTypePolicyLock:: 0x21ba80
SeOpenObjectAuditAlarmWithTransaction:: 0x2e2c10
??_C@_0M@LJKCMGIA@IRP_MJ_READ?$AA@GHGBBCHJ@:: 0x5478e0
??_C@_0BK@OJHAPPFL@GUID_DEVICE_START_REQUEST?$AA@:: 0xe550
tcpxsum:: 0x99f30
ExpTranslateNtPath:: 0x44ffd0
MiUpdatePfnPriority:: 0x7ddc0
BcdOpenSystemStore:: 0x4ef100
KiNmiCallbackListHead:: 0x26d7e0
RtlReadSingleHookValidation:: 0x3c6a90
??_C@_1M@NGEKBHII@?$AAM?$AAC?$AAH?$AAG?$AAR?$AA?$AA@:: 0xc4b8
KeSetActualBasePriorityThread:: 0x71a80
KiBugCheckDebugBreak:: 0x14e5c0
PrivateLoggerSecurityGuid:: 0xf1b0
KiStartProfileTarget:: 0xec650
SeEnableDelegationPrivilege:: 0x5395b0
AdtpInitializeAuditingCommon:: 0x34f69c
??_C@_04NNKLLLMF@?$CK?5?$CK?6?$AA@JKADOLAD@:: 0x4f8930
??_C@_1DO@DHKPAJOE@?$AAK?$AAe?$AAr?$AAn?$AAe?$AAl?$AA?9?$AAW?$AAi?$AAn?$AAd?$AAo?$AAw?$AAs?$AAM?$AAa?$AAx?$AAM?$AAe?$AAm?$AAA?$AAl?$AAl?$AAo?$AAw?$AAe?$AAd?$AAx?$AA6?$AA4?$AA?$AA@PBOPGDP@:: 0x557cf0
strcpy:: 0x834d0
KiLoadMTRRTarget:: 0x2a6660
PnpIsLegacyDriver:: 0x3ab230
PnprAddDeviceResources:: 0x493890
SepAdtInitializePrivilegeAuditing:: 0x3b2730
PopCheckIrpWatchdog:: 0x15354
GUID_SYSTEM_AWAYMODE:: 0xf100
SepIsChildTokenByPointer:: 0x2c18c8
WheapDefaultErrSrcRecover:: 0xdd880
MiZeroPfn:: 0x14ad8
KdpReadRemoteFile:: 0x4f4580
PopDiagInitialize:: 0x568510
ObpFreeWorkItemBlock:: 0x4535f0
ViDeadlockDatabaseLock:: 0x21ae08
KiCompleteEffectiveRangeChange:: 0x2aeb70
??_C@_1BO@PKGNLHAL@?$AAH?$AAi?$AAb?$AAe?$AAr?$AAD?$AAu?$AAm?$AAp?$AAC?$AAo?$AAu?$AAn?$AAt?$AA?$AA@LBKOJDO@:: 0x4f2488
PopInitSIdle:: 0x48f1a0
RtlpVersions:: 0x7c60
KeCheckForZeroPage:: 0x9c720
??_C@_1BI@INEKAINN@?$AAl?$AAo?$AAc?$AA2?$AA0?$AA0?$AA8?$AA?4?$AAn?$AAl?$AAs?$AA?$AA@NNGAKEGL@:: 0x35bfd0
ViCtxIsr:: 0x504070
PPM_ETW_PROVIDER:: 0xb9f0
PfSnAddProcessTrace:: 0xe4ac0
MiSwitchToTransition:: 0x141ea0
StEtaIoStart:: 0xe9d00
PspWow64CurrentPeb:: 0x7a910
GUID_CURRENT_BOOT_ENTRY:: 0xe730
PnpSystemDeviceEnumerationComplete:: 0x271600
??_C@_17EFJFBKCB@?$AAq?$AAu?$AAt?$AA?$AA@:: 0x10458
??_C@_1BE@DEAPIJA@?$AAM?$AAi?$AAc?$AAr?$AAo?$AAs?$AAo?$AAf?$AAt?$AA?$AA@:: 0xa760
_strnset:: 0x82334
ZwDeleteBootEntry:: 0x91d40
MmAllocateMappingAddress:: 0x3cd800
KeAcquireInterruptSpinLock:: 0xfb420
??_C@_15FOMCIDHG@?$AAd?$AAa?$AA?$AA@:: 0x107a0
??_C@_0BD@GEIFCBIL@LdrHotPatchRoutine?$AA@EKOMKFNL@:: 0x58d080
PsGetThreadProcessId:: 0x7da5c
StackOverflowFallback:: 0x2724e0
MiAllocateLargeZeroPages:: 0x432a70
_fltused:: 0x1de030
ViIrpLogDatabase:: 0x21b090
PsGetProcessSessionId:: 0x527e0
KxWaitForSpinLockAndAcquire:: 0x365c0
IopCheckListForCancelableIrp:: 0x703a8
??_C@_01EEMJAFIK@?6?$AA@OKHAJAOM@:: 0x2a4d50
HvlFlushAddressSpaceTb:: 0xf60b0
ZwAlpcRevokeSecurityContext:: 0x91760
TmpNamespaceInitialize:: 0x33390c
AlpcpSectionDestroyProcedure:: 0x312380
PnpCompareResourceRequestPriority:: 0x3aaa30
??_C@_1BG@FMELBIOE@?$AAs?$AAr?$AA?9?$AAC?$AAy?$AAr?$AAl?$AA?9?$AAC?$AAS?$AA?$AA@:: 0xfa90
MmLastUnloadedDriver:: 0x23ac88
WppClassicProviderCallback:: 0xd39e0
??_C@_0BJ@FAOIOBDH@?2ArcName?2?$CFspartition?$CI?$CFd?$CJ?$AA@NNGAKEGL@:: 0x355c50
??_C@_0CD@DFOPLOLM@Freed?5too?5many?5map?5registers?3?5?9?$CF@FNODOBFM@:: 0xa5b30
??_C@_1CG@INBLODGN@?$AAP?$AAa?$AAr?$AAa?$AAl?$AAl?$AAe?$AAl?$AAC?$AAo?$AAn?$AAt?$AAr?$AAo?$AAl?$AAl?$AAe?$AAr?$AA?$AA@LBKOJDO@:: 0x4f0cb8
MiCheckSecuredVad:: 0x2fc3f0
MiMapCacheExceptionFilter:: 0x3a9ce0
MiStoreMinModWritePriority:: 0x221c60
?StDmCleanup@?$ST_STORE@USM_TRAITS@@@@SAXPEAU_ST_DATA_MGR@1@K@Z:: 0x19f7f0
MxGetNextPage:: 0x55a970
KeUpdateUmsThreadState:: 0x3c75d0
WmipMarkHandleAsClosed:: 0x425200
ObSetSecurityDescriptorInfo:: 0x305cf4
KiAddProcessorToGroupDatabase:: 0xe6940
??_C@_15IIJLGAGL@?$AAb?$AAa?$AA?$AA@:: 0x104c8
??_C@_1CC@CLPLLKPB@?$AA?3?$AA?3?$AA?$CF?$AAh?$AAs?$AA?$CF?$AAu?$AA?4?$AA?$CF?$AAu?$AA?4?$AA?$CF?$AAu?$AA?4?$AA?$CF?$AAu?$AA?$AA@FNODOBFM@:: 0xa53c0
MmEnablePAT:: 0x2a5340
MiMakeTransitionPteValid:: 0x8d0f0
RtlpMuiRegLoadLicInformation:: 0x1872d0
??_C@_1BG@MBBMHHKI@?$AAt?$AAg?$AA?9?$AAC?$AAy?$AAr?$AAl?$AA?9?$AAT?$AAJ?$AA?$AA@:: 0x101a0
??_C@_1EO@EKIIDBMB@?$AA?$HL?$AA0?$AA0?$AA0?$AA0?$AA0?$AA0?$AA0?$AA0?$AA?9?$AA0?$AA0?$AA0?$AA0?$AA?9?$AA0?$AA0?$AA0?$AA0?$AA?9?$AAF?$AAF?$AAF?$AAF?$AA?9?$AAF?$AAF?$AAF?$AAF?$AAF?$AAF?$AAF@NNGAKEGL@:: 0x3571e0
strncpy_s:: 0x875a4
NtDeleteValueKey:: 0x2c1ed4
DbgLoadImageSymbols:: 0xe3c80
WheapInitializeEventing:: 0x568560
AlpcpReleaseMessageAttributesOnCancel:: 0x2bc2c8
?StpKeyCompare@?$ST_STORE@USM_TRAITS@@@@SAHPEBX0@Z:: 0xe03a0
ExfReleasePushLockShared:: 0x31df0
MmCaptureAllWorkingSetAccessBits:: 0x118ad0
??_C@_17IIEAJKPD@?$AA?4?$AAT?$AAM?$AA?$AA@:: 0xe170
??_C@_1HI@JJAPFIHO@?$AA?2?$AAR?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAM?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?2?$AAL?$AAa?$AAs?$AAt?$AAK?$AAn?$AAo@NNGAKEGL@:: 0x357960
ZwWriteVirtualMemory:: 0x90e20
TmpRecoverUnicodeString:: 0x3b23d0
PopUmpoSendInitialPowerState:: 0x187cc0
CcSetAdditionalCacheAttributes:: 0x6a1d0
MiPutPhase0LargePagesOnFreeList:: 0x561c30
??_C@_1BC@NMMBPOGN@?$AAn?$AAd?$AAi?$AAs?$AA?4?$AAs?$AAy?$AAs?$AA?$AA@GHGBBCHJ@:: 0x547068
ViSwap:: 0x50da30
NtCreateProcessEx:: 0x4dec20
??_C@_0DB@OELHKNHO@Driver?5is?5attempting?5to?5map?5a?50?9@JKADOLAD@:: 0x4f8500
ObAssignSecurity:: 0x346778
TmpPromoteTransaction:: 0x41a580
AlpcpMessageLogListHead:: 0x267600
MiParseImageSectionHeaders:: 0x3bf0e0
PsGetProcessInheritedFromUniqueProcessId:: 0x7d9bc
??_C@_0P@OJGFJBNK@?0?5InPath?$DNTRUE?$CJ?$AA@JKADOLAD@:: 0x4f9110
PopHvRootIdle:: 0xd8010
IoCsqRemoveIrp:: 0xdbd10
PspJobTimeLimitsInterval:: 0x4f10e0
PnpCreateDeviceEventEntry:: 0x33411c
??_C@_1DO@HBNMGCKD@?$AA?2?$AAD?$AAe?$AAv?$AAi?$AAc?$AAe?$AA?2?$AAH?$AAa?$AAr?$AAd?$AAd?$AAi?$AAs?$AAk?$AA?$CF?$AAd?$AA?2?$AAP?$AAa?$AAr?$AAt?$AAi?$AAt?$AAi?$AAo?$AAn?$AA?$CF?$AAd?$AA?$AA@PBOPGDP@:: 0x559410
Kd_SETUP_Mask:: 0x1fd24c
xHalGetInterruptVector:: 0xdd880
PiProcessStartSystemDevices:: 0x4248d0
KiSynchronizationCounterSetCallback:: 0x106a80
??_C@_1BM@NFLFDCDM@?$AAP?$AAr?$AAi?$AAm?$AAa?$AAr?$AAy?$AAD?$AAC?$AAa?$AAc?$AAh?$AAe?$AA?$AA@LBKOJDO@:: 0x4f0ec8
EtwpFailLogging:: 0xdfbb0
CmpCmdRenameHive:: 0x449d00
