CmpCallCallBacksEx        ntoskrnl.exe+0x5F1510
PnpInitializeNotifyEntry        ntoskrnl.exe+0x6C5934
KeCopyLastBranchInformation        ntoskrnl.exe+0x2EAA10
MiPerformSafePdeWrite        ntoskrnl.exe+0x37F28C
MiMarkSessionDeletePending        ntoskrnl.exe+0x3873B8
SdbpCleanupLocalDatabaseSupport        ntoskrnl.exe+0x74042C
KsepCacheInitialize        ntoskrnl.exe+0x7AC5B0
KiIntSteerDisable        ntoskrnl.exe+0x37491C
PnpInitializeDeviceEvents        ntoskrnl.exe+0xA518E4
NtQueryDriverEntryOrder$filt$1        ntoskrnl.exe+0x9513C5
CcWriteBehindInternal        ntoskrnl.exe+0x2BFB90
ExInitializeFastResource        ntoskrnl.exe+0x3971D0
MI_MAKE_PROTECT_WRITE_COPY        ntoskrnl.exe+0x368C44
MiConvertStaticSubsections        ntoskrnl.exe+0x24C674
PsMapSystemDlls        ntoskrnl.exe+0x6B5E54
RtlpCopyBitMapTailToHead        ntoskrnl.exe+0x347D5C
RtlGetVersion        ntoskrnl.exe+0x6FBB40
FsRtlGetFileSize        ntoskrnl.exe+0x60EA60
RtlCompareString        ntoskrnl.exe+0x5E4720
KGetUnlockSetting        ntoskrnl.exe+0x7068F8
EmpParseTargetRuleStringIndexList        ntoskrnl.exe+0xA41B2C
PopWriteHiberImage        ntoskrnl.exe+0x990C04
PfpRpControlRequest        ntoskrnl.exe+0x6E9564
PfpSourceBuildVaArray        ntoskrnl.exe+0x6D2630
PfSnGetCompletedTrace        ntoskrnl.exe+0x6FD8BC
PopAllocateHiberContext        ntoskrnl.exe+0x764A64
ExpGetKernelDataProtection$fin$0        ntoskrnl.exe+0x7D686B
RtlpMuiRegCreateKernelRegistryInfo        ntoskrnl.exe+0x3B3808
EtwpEnableTrace        ntoskrnl.exe+0x777704
RawReadWriteDeviceControl        ntoskrnl.exe+0x6BBE28
MiLockPageTableRange        ntoskrnl.exe+0x356FAC
IoReleaseRemoveLockEx        ntoskrnl.exe+0x33A390
MmAllocatePartitionNodePagesForMdlEx        ntoskrnl.exe+0x313330
RtlWideCharArrayCopyStringWorker        ntoskrnl.exe+0x579D98
RtlWideCharArrayCopyStringWorker        ntoskrnl.exe+0x579D98
EtwpDeleteRegistrationObject        ntoskrnl.exe+0x66FF90
LdrResGetRCConfig        ntoskrnl.exe+0x77969C
PipClearDevNodeProblem        ntoskrnl.exe+0x72FFEC
PiDevCfgInitMigrationContext        ntoskrnl.exe+0x75BB70
CmpUnlockHashEntryByKcb        ntoskrnl.exe+0x5ECD50
PspRemoveProcessFromJobChain        ntoskrnl.exe+0x65A624
