??_C@_1HM@IHPPCBKD@?$AA?2?$AAR?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAM?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?2?$AAC?$AAu?$AAr?$AAr?$AAe?$AAn?$AAt@PBOPGDP@:: 0x56a250
MiMirrorHoldsPfn:: 0x23d1b0
RtlpLockAtomTable:: 0x3208e8
RtlStdLogStackTrace:: 0x136650
ZwCreateNamedPipeFile:: 0x69160
PshedDisableErrorSource:: 0xba484
PnpRemoveLockedDeviceNode:: 0x170980
MiRemoveNode:: 0xa0410
WdipSemRegHandle:: 0x21c5b8
KeQueryTimerDueTime:: 0x118810
ObpAuditBaseObjects:: 0x221b60
MiWaitForFlushInProgress:: 0x52d4c
SmWdInitialize:: 0x128680
EtwpUpdateFileHeader:: 0x2d493c
__real@3f10000000000000:: 0x1b6b48
?SmEtwDescriptorPtrs@@3PAPEBU_EVENT_DESCRIPTOR@@A:: 0x1e5580
??_C@_0CH@GEGPOHNN@wmitrace?3?5EtwpStartTrace?5failed?3@NNGAKEGL@:: 0x3793a0
NtGetContextThread:: 0x2c2d1c
ZwCreateDirectoryObject:: 0x69020
PnpUnlinkDeviceRemovalRelations:: 0x4499a0
PsOpenProcess:: 0x33e7c0
PfTDumpEntryInfo:: 0x3df600
CcAllocateVacbLevel:: 0x3090
PnpPrepareDriverLoading:: 0x4558b0
DbgkLkmdUnregisterCallback:: 0x480020
SepMandatoryObjectTypePolicyLock:: 0x21de60
SeOpenObjectAuditAlarmWithTransaction:: 0x362820
??_C@_0M@LJKCMGIA@IRP_MJ_READ?$AA@GHGBBCHJ@:: 0x5468e0
??_C@_0BK@OJHAPPFL@GUID_DEVICE_START_REQUEST?$AA@:: 0x1b2c18
tcpxsum:: 0x4ce70
ExpTranslateNtPath:: 0x478520
MiUpdatePfnPriority:: 0x21610
BcdOpenSystemStore:: 0x4f0690
KiNmiCallbackListHead:: 0x26fa98
RtlReadSingleHookValidation:: 0x3fbbc0
??_C@_1M@NGEKBHII@?$AAM?$AAC?$AAH?$AAG?$AAR?$AA?$AA@:: 0x1b0c28
KeSetActualBasePriorityThread:: 0x16adc
KiBugCheckDebugBreak:: 0x1665d0
PrivateLoggerSecurityGuid:: 0x1b3870
KiStartProfileTarget:: 0x113250
SeEnableDelegationPrivilege:: 0x538598
AdtpInitializeAuditingCommon:: 0x39435c
??_C@_04NNKLLLMF@?$CK?5?$CK?6?$AA@JKADOLAD@:: 0x4f7820
??_C@_1DO@DHKPAJOE@?$AAK?$AAe?$AAr?$AAn?$AAe?$AAl?$AA?9?$AAW?$AAi?$AAn?$AAd?$AAo?$AAw?$AAs?$AAM?$AAa?$AAx?$AAM?$AAe?$AAm?$AAA?$AAl?$AAl?$AAo?$AAw?$AAe?$AAd?$AAx?$AA6?$AA4?$AA?$AA@PBOPGDP@:: 0x56b1c0
strcpy:: 0x66a70
KiLoadMTRRTarget:: 0x2af0a0
PnpIsLegacyDriver:: 0x3e13d0
PnprAddDeviceResources:: 0x4afe20
SepAdtInitializePrivilegeAuditing:: 0x3e8430
PopCheckIrpWatchdog:: 0x2ef30
GUID_SYSTEM_AWAYMODE:: 0x1b37c0
SepIsChildTokenByPointer:: 0x323c40
WheapDefaultErrSrcRecover:: 0x94180
MiZeroPfn:: 0x5fd4
KdpReadRemoteFile:: 0x4f3920
PopDiagInitialize:: 0x57c140
ObpFreeWorkItemBlock:: 0x47bb40
ViDeadlockDatabaseLock:: 0x21d1e8
KiCompleteEffectiveRangeChange:: 0x2b5f60
??_C@_1BO@PKGNLHAL@?$AAH?$AAi?$AAb?$AAe?$AAr?$AAD?$AAu?$AAm?$AAp?$AAC?$AAo?$AAu?$AAn?$AAt?$AA?$AA@LBKOJDO@:: 0x361ca8
PopInitSIdle:: 0x4aac60
RtlpVersions:: 0x1ac9b0
KeCheckForZeroPage:: 0xb3950
??_C@_1BI@INEKAINN@?$AAl?$AAo?$AAc?$AA2?$AA0?$AA0?$AA8?$AA?4?$AAn?$AAl?$AAs?$AA?$AA@NNGAKEGL@:: 0x37a170
ViCtxIsr:: 0x502f50
PPM_ETW_PROVIDER:: 0x1b01d0
PfSnAddProcessTrace:: 0x10b300
MiSwitchToTransition:: 0x1572e0
StEtaIoStart:: 0x1104f0
PspWow64CurrentPeb:: 0x47160
GUID_CURRENT_BOOT_ENTRY:: 0x1b2df8
PnpSystemDeviceEnumerationComplete:: 0x273840
??_C@_17EFJFBKCB@?$AAq?$AAu?$AAt?$AA?$AA@:: 0x1b4b18
??_C@_1BE@DEAPIJA@?$AAM?$AAi?$AAc?$AAr?$AAo?$AAs?$AAo?$AAf?$AAt?$AA?$AA@:: 0x1aef40
_strnset:: 0xba894
ZwDeleteBootEntry:: 0x69400
MmAllocateMappingAddress:: 0x38e950
KeAcquireInterruptSpinLock:: 0x1201e0
