PiQueryResourceRequirements:: 0x4b1094
MmQueryMemoryListInformation:: 0x85620
SeComputeQuotaInformationSize:: 0x40f880
_CmSetDeviceInterfaceMappedProperty:: 0x558804
IopInitializeBuiltinDriver:: 0x7909fc
CcDereferenceSharedCacheMapFileObject:: 0x17064
CmpLockIXLockIntent:: 0x4fbe2c
PopExecutePowerAction:: 0x511bb8
ExpAllocateHandleTableEntry:: 0x46c7b0
KeQueryTotalCycleTimeThread:: 0xd2954
_CmOpenDeviceContainerRegKey:: 0x4e2994
ExpQueryNumaProcessorMap$filt$0:: 0x577da9
MiInitializeNumaRanges:: 0x12dcf0
ExpQuerySystemInformation$filt$7:: 0x575190
ExpTimeRefreshDpcRoutine$filt$3:: 0x160fb3
ExpTimeRefreshDpcRoutine$filt$1:: 0x160f41
PopSanityCheckHiberFile:: 0x529ddc
PpDevCfgProcessDeviceOperations:: 0x4cd41c
CmGetVisibleValueCount:: 0x4a0190
KeSetDisableQuantumProcess:: 0x6994
RemoveListHeadPte:: 0x7966c
KiIsXSaveFeatureAllowed:: 0x3cac88
MiObtainSystemCacheView:: 0x77600
CmpTransSearchAddLightWeightTrans:: 0x482e4c
KsepStringFree:: 0x3dcf88
ExpWorkerFactoryInitialization:: 0x7b1058
IopCompareReqAlternativePriority:: 0x55eb10
ExpWnfGenerateStateName:: 0x4f5cec
MiPopFreeWsle:: 0x3ef20
ConsumerGetBuffer:: 0x3c05cc
KeSetPriorityAndQuantumProcess:: 0xd29d8
CmSelectQualifiedInstallLanguage:: 0x7a27c8
PpmPerfGetCurrentState:: 0xf0b10
AlpcpValidateConnectionMessage:: 0x46668c
ExpQuerySystemInformation$filt$73:: 0x575ad2
MiGetSystemPage:: 0x8eaa4
ExpQuerySystemInformation$filt$72:: 0x575a90
ExpQuerySystemInformation$filt$106:: 0x57683a
MiEnumerateLeafPtes:: 0xb12d0
ExpQuerySystemInformation$filt$71:: 0x575a4e
ExpQuerySystemInformation$filt$70:: 0x575a0c
MiInitializeMdlPages:: 0xbdaa8
IopLegacyResourceAllocation:: 0x53d274
ExpQuerySystemInformation$filt$77:: 0x575c5e
ExpQuerySystemInformation$filt$76:: 0x575c1c
ExpQuerySystemInformation$filt$75:: 0x575b98
PspChargeJobWakeCounter:: 0x448f70
ExpQuerySystemInformation$filt$74:: 0x575b14
SMKM_STORE<SM_TRAITS>::SmStWorkItemGet:: 0x113c28
CcInitializeVacbs:: 0x7a96bc
MiSlistGetFreePage:: 0x699d8
ExUnlockHandleTableEntry:: 0x469d9c
PiControlGetPropertyData:: 0x4e8bac
StEtaStart:: 0xb3288
NtFlushBuffersFileEx:: 0x4a8b94
PiDmObjectProcessPropertyChange:: 0x4605cc
ExpHwidEnsurePropertyBufferLength:: 0x4d2280
ExpQuerySystemInformation$filt$79:: 0x575d24
IopSortRelationListForRemove:: 0x4ad638
ExpInsertTimerResolutionEntry:: 0xf7800
ExpQuerySystemInformation$filt$78:: 0x575ca0
LdrpLoadResourceFromAlternativeModule:: 0xe0548
FsRtlGetTunnelParameterValue:: 0x558be8
ExpCreateWorkerThread:: 0x47c294
PopExtendConnectionState:: 0x531338
PsLookupProcessThreadByCid:: 0x491f10
NtQuerySemaphore:: 0x4c3db4
PopFxProcessWork:: 0xc648c
MiCreatePagefile:: 0x54cfd8
IoBuildPoDeviceNotifyList:: 0x3c438c
FsRtlpCancelOplockRHIrp$fin$0:: 0x160094
_TlgDefineProvider_annotation__TlgPopTraceHandleProv:: 0x15bbc8
FsRtlReleaseFileForCcFlush:: 0x4f1ac0
IoQuerySystemDeviceName:: 0x524344
SepSetTokenLowboxHandles:: 0xf9208
KiPriQueueThreadPriorityChanged:: 0xd8790
CcUninitializeCacheMap:: 0xd5f40
AlpcpCaptureHandleAttribute$filt$0:: 0x578968
NtLockRegistryKey:: 0x556aac
_GetBaseTypeSize:: 0xfac38
ObInsertObjectEx:: 0x40ac80
IopGetSetSpecificExtension:: 0x95d74
ObDereferenceSecurityDescriptor:: 0x40b880
PopDispatchCallback:: 0x55f4a4
ExpQuerySystemPerformanceInformation:: 0x43ba90
IopSynchronousServiceTail:: 0x415d60
NtReleaseSemaphore$filt$0:: 0x578440
MiAllocateDriverPage:: 0x48b0bc
PiDeferSetInterfaceState:: 0x4d188c
EtwpIsEventNameFilterEnabled:: 0xa2510
CmpGetToken:: 0x7a06ac
PfSnCheckActionsNeeded:: 0x494674
MiCreateSharedZeroPages:: 0x4f580
ObpCreateDosDevicesDirectory:: 0x55b6b8
CcMdlRead$fin$0:: 0x57882f
KiSetAffinityThread:: 0x12ec0
NtGetNlsSectionPtr$filt$0:: 0x5792da
KiSwapProcess:: 0xa4310
PopDiagTraceFxDevicePowered:: 0xc8144
MiLocateIndirectHash:: 0x61e80
KsepGetLoadedModulesList:: 0x552724
KdRegisterDebuggerDataBlock:: 0x6eb114
MiUnmapFrameBuffer:: 0x1022bc
EtwpFreeCompression:: 0xc87e0
PpmUpdateIdleStates:: 0x530b30
_CmGetCommonClassRegKeyPath:: 0x4eaf48
CmpGetSecurityDescriptorNode:: 0xfee50
RtlStringCchCopyA:: 0x12ebb0
IopRegistryCallback:: 0x54b68c
KdpSendWaitContinue:: 0x6e9bbc
RtlpProcessIFEOKeyFilter:: 0x4b7404
ST_STORE<SM_TRAITS>::StDmpSinglePageLookup:: 0x10f740
WmipLegacyEtwWorker:: 0x556de0
AlpcAddHandleTableEntry:: 0x46a7b0
NtQueryMultipleValueKey:: 0x4c0bb0
EmClientRuleEvaluate:: 0x3bde30
NtSetSystemEnvironmentValue$filt$0:: 0x6ac748
IoCreateDriver:: 0x53a20c
PfSnQueryVolumeInfo:: 0x4fbc5c
PoQueryWatchdogTime:: 0x1188dc
MmInitializeHandBuiltProcess2:: 0x5601ac
Phase1Initialization:: 0x530934
_MapCmDevicePropertyToRegType:: 0xf5470
RtlSetAllBitsEx:: 0x138b24
FsRtlCheckOplockEx:: 0x94f70
MiRescanPagefileBitmaps:: 0x13362c
MiDbgUnTranslatePhysicalAddress:: 0x13abec
CmpLockKcbShared:: 0x3f08a0
KiWakeQueueWaiter:: 0x73db0
RtlStringExValidateDestW:: 0x9e520
PnpSetDeviceAffinityThread:: 0xfaa00
NtAlpcCreateResourceReserve:: 0x4a8e80
MiInsertLargePageInFreeOrZeroList:: 0x6d500
PspInitializeProtectedProcessParameters:: 0x7aad34
LdrpGetFromMUIMemCache:: 0xe1050
PfpFlushBuffers:: 0x3eaa80
KsepRegistryQuerySZ:: 0x55aa98
RtlCmDecodeMemIoResource:: 0xf483c
SeCaptureSidAndAttributesArray:: 0x463c00
CcGetVacbMiss:: 0x7a2a8
RtlpCreateSplitBlock:: 0xd325c
SeDefaultObjectMethod:: 0x40b390
PspUnlockProcessListExclusive:: 0x91680
KiProcessThreadWaitList:: 0xcf310
IopGetNetworkOpenInformation:: 0x562238
NtSetIoCompletionEx:: 0x3d67dc
ExpFreeHandleTableEntry:: 0x4548ac
CmpCloseKeyObject:: 0x4840b0
PfpPfnPrioRequest:: 0x407210
RtlpCreateHashTable:: 0xeba34
IopCreateArcNamesDisk:: 0x78d584
IoCancelThreadIo:: 0x4855a8
RtlpAllocateHeap:: 0xd4014
PnpNotifyTargetDeviceChange:: 0x4f0330
DbgUnicodeStringToAnsiString:: 0xf2390
PipApplyFunctionToServiceInstances:: 0x5566b8
SeAccessCheckWithHint:: 0x6b2c0
KsepDbCacheQueryDevice:: 0x5176b8
FsRtlNotifyFilterChangeDirectoryLite$fin$0:: 0x578676
CcDereferenceVacbArray:: 0x7ad04
PopIdleCancelAoAcDozeS4Timer:: 0x10359c
MiRemoveAnyPage:: 0x6ce90
MiParseImageCfgBits:: 0x3e9290
PoClearPowerRequest:: 0x105c48
KdRegisterPowerHandler:: 0x13e124
MiScanPagefiles:: 0x8ba2c
SepCleanupLUIDDeviceMapDirectory:: 0x52bcf0
EtwpUpdateDisallowedGuids:: 0x510314
MiUpdateLastSubsectionSize:: 0xdfbb8
MiPageAvailable:: 0xb0804
MiUnlockDynamicMemoryExclusive:: 0x12604c
MmFlushVirtualMemory:: 0x4f1588
NtCreateEnclave$filt$0:: 0x658a3e
IoWMIQuerySingleInstance:: 0x52954c
MiDeprioritizeVad:: 0xefac4
CmSetLazyFlushState:: 0x517044
_RegRtlOpenKeyTransacted:: 0x4587f4
ExpSetDriverEntry$filt$0:: 0x6a9218
MiInitializeUserNoAccess:: 0x4b8e8c
AlpcpCreateSecurityContext:: 0x46b090
MiEmptyKernelStackCache:: 0x188c
PopDiagTraceFxDevicePowerRequirement:: 0xc681c
PopAcquireAdaptiveLock:: 0x4d3434
MiSubsectionRequiresCharge:: 0xdfce0
KeInsertQueueEx:: 0x8c80c
RtlUnicodeToOemN:: 0x4a10a8
PopDiagTraceIrpStart:: 0x11edb0
PopCallPowerSettingCallback:: 0x4f41c4
LookupSidInTable:: 0x4bb714
CmpNotifyChangeKey:: 0x4ff0c0
MiAttemptHugePageCoalesce:: 0x83208
FsRtlCheckUpperOplock$fin$0:: 0x579210
CcSetAdditionalCacheAttributesEx:: 0xdcdb4
MiInitializePagefileBitmapsCache:: 0x13378c
MiRemoveMappedPtes:: 0x8f390
PnpAllocatePWSTR:: 0x45e7f0
KiTimerExpirationDpc:: 0x115e1c
PopBatteryUpdateAlarms:: 0x5323b4
FopGetTableOffsetAndSize:: 0x7cbe54
IoApplyPriorityInfoThread:: 0x98ba0
TxtpAddCacheEntry:: 0x71e5fc
PsImpersonateClient:: 0x432560
RtlAddRange:: 0x5423c4
